"","x"
"soybeans",395
"cheese_culture",395
"cocoa_powder",368
"red",366
"corn_syrup_solids",397
"olive_oil",389
"citric_acid",399
"egg_whites",397
"black_pepper",384
"carrageenanann",399
"enzymes",399
"corn_starch",399
"milk_powder",379
"flavor",399
"milk",399
"egg",391
"milkfat",374
"color",399
"sodium_benzoate",391
"red_40",382
"honey",399
"water",399
"almonds",392
"calcium_phosphate",364
"potassium_sorbate",396
"calcium_propionate",383
"niacin",399
"food_starch",399
"preservative",397
"vitamin_b6",330
"bha",352
"flour",399
"buttermilk",395
"cream",399
"barley",355
"maltodextrin",399
"gelatin",392
"soy_sauce",374
"or",399
"chicken_fat",333
"lemon_juice",390
"wheat_flour",399
"reduced_iron",399
"corn",399
"diglycerides",396
"pyridoxine_hydrochloride",351
"sunflower_oil",399
"artificial_color",384
"cane_sugar",399
"bht",373
"blueberries",335
"coconut_oil",395
"non_fat_milk",367
"beef",371
"dehydrated_garlic",370
"celery",364
"brown_rice",344
"onions",377
"basil",367
"hydrolyzed_soy_protein",367
"artificial_flavor",397
"cultures",384
"guar_gum",399
"apple_juice_concentrate",345
"dehydrated_onion",371
"glycerin",354
"mono",396
"tapioca_starch",399
"chili_pepper",352
"salt",399
"sorbitol",362
"cocoa_butter",352
"canola_oil",399
"autolyzed_yeast_ct",373
"tomato_powder",368
"soy_protein_isolate",383
"onion",388
"acetic_acid",370
"tocopherols",368
"emulsifier",378
"chili_powder",351
"cellulose",387
"caramel_color",399
"cocoa_processed__alkali",307
"corn_oil",393
"sugar",399
"peanuts",377
"culture",350
"flavorings",388
"garlic",389
"baking_powder",397
"egg_white",376
"brown_sugar",398
"tricalcium_phosphate",386
"cocoa",350
"canola",399
"leavening",395
"dough_conditioner",349
"partskim_milk",348
"calcium_chloride",395
"iron",399
"mustard",344
"eggs",399
"disodium_phosphate",392
"carnauba_wax",294
"fdandc_yellow_5",359
"sesame_seeds",387
"garlic_powder",392
"butter_flavor",377
"oats",381
"coriander",313
"lime_juice",336
"lactic_acid",399
"nonfat_milk",399
"ammonium_bicarbonate",335
"potassium_chloride",378
"rice",397
"dextrose",399
"peanut_oil",344
"paprika",391
"sesame_oil",351
"green_onion",317
"beta_carotene",396
"molasses",399
"cottonseed",393
"onion_powder",389
"cheddar_cheese",376
"chocolate_liquor",323
"corn_syrup",399
"brown_rice_flour",353
"apple",356
"rice_flour",399
